_id,keyword,good_url,image_url,price,describe,shop,shop_url
ObjectId(5d5bcec3169344ce32384b4c),iPad,detail.tmall.com/item.htm?id=597142202458&skuId=4370924415243&user_id=858042828&cat_id=2&is_b=1&rn=d41e4f157e6af23587465dc8e65d5a34,img.alicdn.com/bao/uploaded/i1/2616970884/O1CN01FBBeY81IOufvM7Shg_!!2616970884.jpg,2299.00,"[""\n华为平板 M6 10.8英寸 安卓平板电脑二合一安卓全网通4G通话手机m5 AI智能超薄大屏游戏2019新款平板正品"",""\n""]","[""\n宏威科锐数码专营店\n""]",store.taobao.com/search.htm?user_number_id=858042828&rn=d41e4f157e6af23587465dc8e65d5a34&keyword=iPad
ObjectId(5d5bcec3169344ce32384b4d),电脑,detail.tmall.com/item.htm?id=581316602637&skuId=4198438367278&user_id=741509377&cat_id=2&is_b=1&rn=24eb9d81e61ff6ce9318ea1d92819449,img.alicdn.com/bao/uploaded/i3/1652528654/O1CN01MnK5Nk2Dna6cZDfka_!!1652528654.jpg,1899.00,"[""\ni7级八核游戏独显16G台式机LOL组装"",""主机吃鸡游戏办公整机全套\n""]","[""\n然硕数码专营店\n""]",store.taobao.com/search.htm?user_number_id=741509377&rn=24eb9d81e61ff6ce9318ea1d92819449&keyword=电脑
ObjectId(5d5bcec4169344ce32384b4e),手机,detail.tmall.com/item.htm?id=587241465568&skuId=4153654700058&user_id=883737303&cat_id=2&is_b=1&rn=71e995c7e1f9aa3c14eb858e63edfd0c,img.alicdn.com/bao/uploaded/i2/TB1dpMacCf2gK0jSZFPFj4sopXa_102306.jpg,2998.00,"[""vivo iQOO"",""生而强悍""]","[""\nvivo官方旗舰店\n""]",store.taobao.com/search.htm?user_number_id=883737303&rn=71e995c7e1f9aa3c14eb858e63edfd0c&keyword=手机
ObjectId(5d5bcec4169344ce32384b4f),iPhone,detail.tmall.com/item.htm?id=579569984297&skuId=4023898870137&user_id=713805254&cat_id=2&is_b=1&rn=098bda40c085756653cdb11c48a1c290,img.alicdn.com/bao/uploaded/i2/2616970884/O1CN01efjuGr1IOufw5J2h8_!!2616970884.jpg,5089.00,"[""\n【到手价4659元起/现货速发】Apple/苹果 "","" XR 移动4G+版 苹果xr "",""xr 苹果xr手机 "","" xr\n""]","[""\n中国移动手机官方旗舰店\n""]",store.taobao.com/search.htm?user_number_id=713805254&rn=098bda40c085756653cdb11c48a1c290&keyword=iPhone
ObjectId(5d5bcec4169344ce32384b50),iPad,detail.tmall.com/item.htm?id=597737828790&skuId=4333743254295&user_id=2711014365&cat_id=2&is_b=1&rn=d41e4f157e6af23587465dc8e65d5a34,img.alicdn.com/bao/uploaded/i1/2616970884/O1CN01FBBeY81IOufvM7Shg_!!2616970884.jpg,1999.00,"[""\n【新品】华为平板M6 8.4英寸4G可通话WIFI手机AI智能全网通电脑安卓m5二合一10游戏学生mini性能2019新款"",""\n""]","[""\n华为卓瑞尔专卖店\n""]",store.taobao.com/search.htm?user_number_id=2711014365&rn=d41e4f157e6af23587465dc8e65d5a34&keyword=iPad
ObjectId(5d5bcec4169344ce32384b51),电脑,detail.tmall.com/item.htm?id=594727679753&skuId=4611686613155067657&user_id=133668489&cat_id=2&is_b=1&rn=24eb9d81e61ff6ce9318ea1d92819449,img.alicdn.com/bao/uploaded/i3/1652528654/O1CN01MnK5Nk2Dna6cZDfka_!!1652528654.jpg,7199.00,"[""\n【新品进化】HP/惠普 英特尔酷睿i5 光影精灵5 暗影精灵5代暗夜游戏本九代吃鸡游戏笔记本"",""官方旗舰店官网\n""]","[""\n惠普中国官方旗舰店\n""]",store.taobao.com/search.htm?user_number_id=133668489&rn=24eb9d81e61ff6ce9318ea1d92819449&keyword=电脑
ObjectId(5d5bcec4169344ce32384b52),手机,detail.tmall.com/item.htm?id=594381462179&skuId=4175071708706&user_id=883737303&cat_id=2&is_b=1&rn=71e995c7e1f9aa3c14eb858e63edfd0c,img.alicdn.com/bao/uploaded/i2/TB1dpMacCf2gK0jSZFPFj4sopXa_102306.jpg,1698.00,"[""vivo Z5X""]","[""\nvivo官方旗舰店\n""]",store.taobao.com/search.htm?user_number_id=883737303&rn=71e995c7e1f9aa3c14eb858e63edfd0c&keyword=手机
ObjectId(5d5bcec4169344ce32384b53),iPhone,detail.tmall.com/item.htm?id=558509313522&skuId=3472379284097&user_id=1917047079&cat_id=2&is_b=1&rn=098bda40c085756653cdb11c48a1c290,img.alicdn.com/bao/uploaded/i2/2616970884/O1CN01efjuGr1IOufw5J2h8_!!2616970884.jpg,7099.00,"[""\nApple/苹果 "","" 8 Plus\n""]","[""\nApple Store 官方旗舰店\n""]",store.taobao.com/search.htm?user_number_id=1917047079&rn=098bda40c085756653cdb11c48a1c290&keyword=iPhone
ObjectId(5d5bcec4169344ce32384b54),iPad,detail.tmall.com/item.htm?id=596679044473&skuId=4321207130134&user_id=4086180775&cat_id=2&is_b=1&rn=d41e4f157e6af23587465dc8e65d5a34,img.alicdn.com/bao/uploaded/i1/2616970884/O1CN01FBBeY81IOufvM7Shg_!!2616970884.jpg,2299.00,"[""\n【现货当天发】华为2019新款M6 10.8英寸12大屏智能安卓超薄吃鸡游戏10全网通平板电脑PC二合一手机"",""正品\n""]","[""\n华为广和兴专卖店\n""]",store.taobao.com/search.htm?user_number_id=4086180775&rn=d41e4f157e6af23587465dc8e65d5a34&keyword=iPad
ObjectId(5d5bcec4169344ce32384b55),电脑,detail.tmall.com/item.htm?id=580711674233&skuId=4365939499608&user_id=2616970884&cat_id=2&is_b=1&rn=24eb9d81e61ff6ce9318ea1d92819449,img.alicdn.com/bao/uploaded/i3/1652528654/O1CN01MnK5Nk2Dna6cZDfka_!!1652528654.jpg,6588.00,"[""\n【12期免息】Microsoft/微软Surface Laptop 2笔记本"",""13.5英寸i5八代8GB内存128GB 轻薄本办公 苏宁旗舰店\n""]","[""\n苏宁易购官方旗舰店\n""]",store.taobao.com/search.htm?user_number_id=2616970884&rn=24eb9d81e61ff6ce9318ea1d92819449&keyword=电脑
